影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
名侦探柯南：唐红的恋歌,静野孔文,大仓崇裕;青山刚昌,高山南;山崎和佳奈;小山力也;堀川亮;宫村优子;绪方贤一;岩居由希子;高木涉;大谷育江;林原惠美;宫川大辅;吉冈里帆;雪野五月,动画;悬疑,日本,日语,2017-04-15(日本)
名侦探柯南：天空的遇难船,山本泰一郎,古内一成;青山刚昌,高山南;山崎和佳奈;小山力也;林原惠美;山口胜平;大桥望美,动作;动画;悬疑,日本,日语,2010-04-17
名侦探柯南：异次元的狙击手,静野孔文,青山刚昌;古内一成,高山南;山口胜平;山崎和佳奈;小山力也;日高法子;池田秀一;家弓家正;梁田清之;置鲇龙太郎;茶风林;井上和彦;高木涉;汤屋敦子;绪方贤一;林原惠美;中井和哉;大塚周夫;辻亲八;福士苍汰,动画;悬疑;犯罪,日本,日语 / 英语,2014-04-19(日本)
名侦探柯南：江户川柯南失踪事件 史上最惨的两天,山本泰一郎,内田贤治;青山刚昌,高山南;山崎和佳奈;林原惠美;小山力也;绪方贤一;香川照之;广末凉子;草尾毅;深见梨加,剧情;动画,日本,日语,2014-12-26(日本)
名侦探柯南：沉默的十五分钟,静野孔文,古内一成;青山刚昌,高山南;山崎和佳奈;小山力也;茶风林;绪方贤一;岩居由希子;高木渉;林原惠美;山口胜平;大谷育江,动画;悬疑,日本,日语,2011-11-04(中国大陆);2011-04-16(日本)
名侦探柯南：纯黑的恶梦,静野孔文,樱井武晴;青山刚昌,高山南;山崎和佳奈;小山力也;茶风林;绪方贤一;岩居由希子;高木涉;大谷育江;林原惠美;天海祐希;池田秀一;古谷彻,动画;悬疑,日本,日语,2016-11-25(中国大陆);2016-04-16(日本)
名侦探柯南：远海的侦探,静野孔文,青山刚昌;樱井武晴,高山南;山崎和佳奈;小山力也;山口胜平;堀川亮;宫村优子;林原惠美;柴崎幸,动画;悬疑;犯罪;冒险,日本,日语,2013-04-20(日本)
名侦探洪吉童：消失的村庄,赵圣熙,赵圣熙,李帝勋;高雅拉;朴根滢;金成钧;郑承华;金河娜;卢正义,剧情;动作,韩国,韩语,2016-05-04(韩国)
后会无期,韩寒,韩寒,冯绍峰;陈柏霖;钟汉良;王珞丹;袁泉;陈乔恩;贾樟柯;白客;孔连顺;高华阳,剧情,中国大陆,汉语普通话 / 手语 / 粤语,2014-07-24(中国大陆)
后妻业之女,鹤桥康夫,黑川博行;鹤桥康夫,大竹忍;丰川悦司;尾野真千子;长谷川京子;水川麻美;风间俊介;余贵美子;米姆拉;松尾谕;笑福亭鹤光;樋井明日香;梶原善;六平直政;森本治行;伊武雅刀;泉谷茂;柄本明;笑福亭鹤瓶;津川雅彦;永濑正敏,悬疑,日本,日语,2016-08-27(日本)
后宫：帝王之妾,金大胜,金大胜;金美正,金民俊;赵汝贞;金东旭;曹恩智;朴智英,剧情;情色;历史,韩国,韩语,2012-06-06(韩国)
向阳之处必有声,上条大辅,高桥奈都子;文乃有纪,多和田秀弥;小野寺晃良;三津谷亮;高岛礼子;山崎亚美,剧情;爱情;同性,日本,日语,2017-06-24(日本)
